,Description
437,January 2019. The U.S. Democratic National Committee revealed that it had been targeted by Russian hackers in the weeks after the 2018 midterm elections 
438,January 2019. South Korea’s Ministry of National Defense announced that unknown hackers had compromised computer systems at the ministry’s procurement office 
439,"January 2019. The U.S. Securities and Exchange Commission charged a group of hackers from the U.S., Russia, and Ukraine with the 2016 breach of the SEC’s online corporate fili ng portal exploited to execute trades based on non -public information "
440,"January 2019. Iran was revealed to have engaged in a multi -year, global DNS hijacking campaign targeting telecommunications and internet infrastructure providers as well as governmen t entities in the Middle East, Europe, and North America. "
441,"January 2019. Hackers release the personal details, private communications, and financial information of hundreds of German politicians, with targets representing every political party except th e far-right AfD. "
442,December 2018 . Chinese hackers stole IP and confidential business and technological information from managed service providers – companies that manage IT infrastructure for other businesses and governments 
443,December 2018. North Korean hackers targeted the Chilean interbank network after tricking an employee into installing malware over the course of a fake job interview 
444,"December 2018. Chinese hackers were found to have compromised the EU’s communications systems, maint aining access to sensitive diplomatic cables for several years "
445,"December 2018. North Korean hackers stole the personal information of almost 1,000 North Korean defectors living in South Korea   December 2018. The United States, in coordination with Australia, Canada, the UK, and New Zealand, accused China for conducting a 12 -year campaign of cyber espionage targeting the IP and trade secrets of companies across 12 countries. The announcement was tied to the i ndictment of two Chinese hackers associated with the campaign. "
446,December 2018. U.S. Navy officials report that Chinese hackers had repeatedly stolen information from Navy contractors including ship maintenance data and missile plans. 
447,December 2018. Security researchers discover a cyber campaign carried out by a Russia -linked group targeting the government agencies of Ukraine as well as multiple NATO members 
448,"December 2018. Researchers report that a state -sponsored Middle Eastern hacking group had targeted telecommunications companies, government embassies, and a Russian oil company located across Pakistan, Russia, Saudi Arabia, Turkey, and North America "
449,"December 2018. Italian oil company Saipem was targeted by hackers utilizing a modified versio n of the Shamoon virus, taking down hundreds of the company’s servers and personal computers in the UAE, Saudi Arabia, Scotland, and India "
450,"December 2018. North Korean hackers have reportedly targeted universities in the U.S. since May, with a particular focus on individuals with expertise in biomedical engineering "
451,December 2018. The Security Service of Ukraine blocked an attempt by the Russian special services to disrupt the information systems of Ukraine’s judicial authority 
452,December 2018. The Cz ech security service announced that Russian intelligence services were discovered to have been behind attacks against the Czech foreign ministry in 2017 
453,"December 2018. Secretary of State Mike Pompeo confirmed that Chinese hackers breached the systems of an American hotel chain, stealing the personal information of over 500 million customers "
454,"November 2018. German security officials announced that a Russia -linked group had targeted the email accounts of several members of the German parliament, as well as the German military and several embassies "
455,November 2018. Security researchers report that Russia launched coordinated cyber attacks against Ukrainian government and military targets before and during the attack on Ukrainian ships in late November 
456,November 2018. Researchers reveal that a Mexican government -linked group used spyware to target the colleagues of a slain journalist inve stigating drug cartels 
457,November 2018. Security researchers discover a cyberespionage campaign targeting government websites of Lebanon and the UAE 
458,November 2018. The U.S. Justice Department indicted two Iranians for the ransomware attack affecting At lanta’s government earlier in 2018   
459,"November 2018. Chinese state media reports that the country had been the victim of multiple attacks by foreign hackers in 2018, including the theft of confidential emails, utility design plans, lists of army units, and more "
460,November 2018. North Korean hackers were found to have used malware to steal tens of millions of dollars from ATMs across Asia and Africa 
461,"November 2018. Security researchers report that Russian hackers impersonating U.S. State Department offic ials attempted to gain access to the computer systems of military and law enforcement agencies, defense contractors, and media companies "
462,November 2018. Ukraine’s CERT discovered malware in the computer systems of Ukraine state agencies believed to be i mplanted as a precursor for a future large -scale cyber attack 
463,November 2018. Researchers discover that a Chinese cyberespionage group targeted a UK engineering company using techniques associated with Russia -linked groups in an attempt to avoid attribution 
464,November 2018. The Pakistani Air Force was revealed to have been target ed by nation -state hackers with access to zero -day exploits 
465,November 2018. Security researchers identify an Iranian domestic surveillance campaign to monitor dissent targeting Telegram and Instagram users 
466,November 2018. Australian defense shipbuilder Austal announced it had been the victim of a hack resulting in the theft of unclassified ship designs which were later sold online 
467,"October 2018. The head of Iran’s civil defense agency announced that the country had recently neutralized a new, more sop histicated version of Stuxnet "
468,October 2018. The U.S. Department of Justice indicted Chinese intelligence officers and hackers working for them for engaging in a campaign to hack into U.S. aerospace companies and steal information 
469,October 2018. Security researchers link the malware used to attack a petrochemical plant in Saudi Arabia to a research institute run by the Russian government. 
470,October 2018. U.S. defense officials announced that Cyber Command had begun targeting individual Russian operatives to deter them from interfering in the 2018 midterm elections. 
471,October 2018. U.S. agencies warned President Trump that that China and Russia eavesdropped on calls he made from an unsecured phone. 
472,October 2018. News reports reveal that the Israel Defense Force requested that cybersecurity companies develop proposals for monitoring the personal correspondence of social media users. 
473,October 2018. The U.S. Department of Homeland Security announces that it has detected a   growing volume of cyber activity targeting election infrastructure in the U.S. ahead of the 2018 midterm elections. 
474,"October 2018. The Centers for Medicare and Medicaid Services announced that hackers had compromised a government computer system, gaining access to the p ersonal data of 75,000 people ahead of the start of ACA sign -up season. "
475,October 2018. The Security Service of Ukraine announced that a Russian group had carried out an attempted hack on the information and telecommunication systems of Ukrainian govern ment groups 
476,"October 2018. The U.S. Justice Department announces criminal charges against seven GRU officers for multiple instances of hacking against organizations including FIFA, Westinghouse Electric Company, the Organisation for the Prohibition of C hemical Weapons, and the U.S. and World Anti -Doping Agencies. "
477,September 2018. Security researchers found that a Russian hacking group had used malware to target the firmware of computers at government institutions in the Balkans and in Central and Eastern Europe. 
478,"September 2018. In a letter to Senate leaders, Sen. Ron Wyden revealed that a major technology company had alerted multiple Senate offices of attempts by foreign government hackers to gain access to the email accounts of Senators and their staff "
479,"September 2018. Resea rchers report that 36 different governments deployed Pegasus spyware against targets in at least 45 countries, including the U.S., France, Canada, and the UK. "
480,"September 2018. The U.S. State Department suffers a breach of one of its unclassified email systems, exposing the personal information of several hundred employees. "
481,September 2018. Swiss officials reveal that two Russian spies caught in the Netherlands had been preparing to use cyber tools to sabotage the Swiss defense lab analyzing the nerve a gent used to poison former Russian Agent Sergei Skripal. 
482,September 2018. Security researchers find that Iranian hackers have been surveilling Iranian citizens since 2016 as part of a mobile spyware campaign directed at ISIS supporters and members of the Kurdish ethnic group. 
483,September 2018. Russian hackers targeted the email inboxes of religious leaders connected to Ukraine amid efforts to disassociate Ukraine’s Orthodox church from its association with Russia. 
484,"September 2018 . The U.S. Department of Justice announces the indictment and e xtradition of a Russian hacker accused of participating in the hack of JP Morgan Chase in 2014, leading to the theft of data from over 80 million customers. "
485,"September 2018 . The U.S. Department of Justice announces the indictment of Park Jin Hyok, a North Korean Hacker allegedly involved in the 2014 Sony hack, the 2016 theft of $81 million from   a Bangladeshi bank, and the WannaCry ransomware attacks. "
486,"September 2018 . Researchers reveal a new cyber espionage campaign linked to attacks against Vietnames e defense, energy, and government organizations in 2013 and 2014. "
487,"September 2018. Chinese hackers breached the systems of the Starwood hotel chain in 2014. It is estimated that the personal information of up to 500 million people was stolen August 20 18. North Korean hackers stole $13.5 million from India’s Cosmos Bank after breaking into the bank’s system and authorizing thousands of unauthorized ATM withdrawals, as well as several illegal money transfers through the SWIFT financial network. Augus t 2018 . Security researchers report that Iranian hackers had targeted the websites and login pages of 76 universities in 14 countries. The attackers stole the credentials of users who attempted to sign in, gaining access to library resources for the purp oses of intellectual property theft. "
488,"August 2018 . Facebook identified multiple new disinformation campaigns on its platform sponsored by groups in Russia and Iran. The campaigns targeted users in the U.S., Latin America, Britain, and the Middle East, an d involved 652 fake accounts, pages, and groups. "
489,August 2018 . Microsoft announces that Russian hackers had targeted U.S. Senators and conservative think tanks critical of Russia. 
490,"July 2018 . Security researchers report that an Iranian hacking group had been targeting the industrial control systems of electric utility companies in the U.S., Europe, East Asia, and the Middle East. "
491,July 2018 . The Department of Homeland Security reveal that a campaign by Russian hackers in 2017 had compromised the networks of multiple U.S. electric utilities and put attackers in a position where they could have caused blackouts. 
492,July 2018 . Senator Claire McCaskill reveals that her 2018 re -election campaig n was targeted by hackers affiliated with Russia’s GRU intelligence agency. Attackers unsuccessfully targeted staffers in the Senator’s office with phishing emails designed to harvest their passwords. 
493,"July 2018 . Researchers report that a hacking grou p linked to Iran has been active since early 2017 targeting energy, government, finance, and telecommunications entities in the Middle East. "
494,July 2018 . Microsoft reveals that Russian hackers had targeted the campaigns of three Democratic candidates running for the 2018 midterm elections. 
495,July 2018 . Russian hackers were found to have targeted the Italian navy with malware designed to insert a backd oor into infected networks. 
496,"July 2018 . Security researchers detect a spike in hacking attempts against IoT devices in Finland during the run -up President Trump’s summit with Vladimir Putin in Helsinki. The majority of attacks originated in China.   July 2018 . Singapore’s largest healthcare institution was targeted by state -sponsored hackers, leading to the leakage of personal information for 1.5 million patients, along with prescription details for 160,000 others. "
497,"July 2018. Ukrainian intelligence officials claim to have thwarted a Russian attack on the network equipment of a chlorine plant in central Ukraine. The virus used in the attack is the same malware responsible for the infection of 500,000 routers worldwide in a campaign the FBI linked to state-sponsored Russian hackers. "
498,"July 2018. The U.S. Department of Justice announced the indictments of 12 Russian intelligence officers for carrying out large -scale cyber operations against the Democratic Party in advance of the 2016 Presidential el ection. The officers’ alleged crimes included the theft and subsequent leakage of emails from the Democratic National Committee and Hillary Clinton campaign, and the targeting of election infrastructure and local election officials in an attempt to interf ere with the election. "
499,"July 2018. Security researchers report that Chinese hackers had been actively spying on political actors on both sides of the upcoming Cambodian elections. Targets include the country’s National Election Commission, several govern ment ministries, the Cambodian Senate, at least one Member of Parliament, and multiple media outlets and human rights activists. "
500,"July 2018. Hackers targeted the campaigns of at least two local Democratic candidates during 2018’s primary season, reporte dly using DDoS attacks to disrupt campaign websites during periods of active fundraising and positive news publicity. "
501,July 2018. Australian National University (ANU) was found to have been breached by Chinese hackers in an attack believed to be motivat ed by a desire to siphon intellectual property from the institution. 
502,"June 2018. Marketing data firm Exactis suffered a data breach exposing the information of 340 million people, including their political preferences, browsing habits, and purchase data. "
503,"June 2018. Ukraine police claim that Russian hackers have been systematically targeting Ukrainian banks, energy companies, and other organizations to establish backdoors in preparation for a wide -scale strike against the country. "
504,"June 2018. Chines e hackers were found to be engaged in a cyber espionage campaign to collect data from satellite, telecom, and defense organizations in the U.S. and Southeast Asia. "
505,"June 2018. A Russian hacking group linked to disrupting the Peyongchang Olympics targeted individuals in France, Germany, Switzerland, Russia, and Ukraine linked to a biochemical threat conference organized by a company involved in the investigation of the poisoning of Sergei Skripal in March 2018. "
506,"June 2018. A Chinese hacking group targeted a national data center in a Central Asian country, preparing a watering hole attack to inject malicious code onto other government websites connecting to the data center.   "
507,June 2018. Researchers reveal that North Korean hackers targeted a South Korean think tank focused on national security issues. The hackers used a zero -day exploit to compromise the organization’s website and insert a backdoor for injecting code. 
508,June 2018. The U .S. Treasury Department announced sanctions against five Russian companies and three individuals for enabling Russian intelligence and military units to conduct cyberattacks against the U.S. 
509,"June 2018. Chinese government hackers compromised the network s of a U.S. Navy contractor, stealing 614 GB of data related to weapons, sensor, and communication systems under development for U.S. submarines. "
510,"May 2018. Cyber security researchers reported that North Korean hackers had been targeting defectors throug h compromised Android apps hosted through the Google Play market, stealing device information and allowing the insertion of executable code stealing photos, contact lists, and text messages. "
511,"May 2018. Security researchers reveal that the Pakistani mili tary used Facebook Messenger to distribute spyware to targets in the Middle East, Afghanistan, and India in an attempt to compromise government officials, medical professionals, and others. "
512,May 2018. Turkish government hackers were discovered to be usi ng surveillance software FinFisher to infect Turkish dissidents and protesters. 
513,"May 2018. An unknown group of hackers stole between $18 and $20 million dollars from Mexican banks by exploiting the SWIFT transfer system, submitting a series of false tran sfer orders to phantom accounts in other banks and emptying the accounts in dozens of branch offices. "
514,"May 2018. Within 24 hours of President Trump’s announcement that the US would withdraw from the Iran nuclear agreement, security firms reported increa ses in Iranian hacking activity, including the sending of emails containing malware to diplomats in the Foreign Affairs ministries of US allies, as well as global telecommunication companies. "
515,May 2018. Researchers reveal that a hacking group connected to Russian intelligence services had been conducting reconnaissance on the business and ICS networks of electric utilities in the US and UK since May 2017. 
516,"April 2018. A cyber espionage campaign originating in China collected data from satellite, teleco m, and defense organizations in the United States and Southeast Asia "
517,April 2018. Security researchers report that an Indian hacking group had been targeting government agencies and research institutions in China and Pakistan since 2013. 
518,"April 2018. Cyber security researchers reveal that North Korean hackers targeted critical infrastructure, finance, healthcare, and other industries in 17 countries using malware resembling the code used in the 2014 Sony Pictures attack.   April 2018. Israeli cyber r esearchers revealed that Hamas had planted spyware in mobile phones owned by members of Fatah, a rival Palestinian faction "
519,April 2018. Reports from cyber security researchers indicate that Chinese state -sponsored hacking groups have targeted Japanese de fense companies in an attempt to gain information on Tokyo’s policies towards North Korea 
520,April 2018. US and UK officials issued a joint warning that Russia was deliberately targeting western critical infrastructure by compromising home and business routers 
521,"April 2018. The director of the UK’s Government Communications Headquarters (GCHQ) announced that the organization had been conducting offensive cyber operations against ISIS to suppress their propaganda, disrupt their coordination, and protect deployed military personnel "
522,April 2018. The chief of Germany’s domestic intelligence services accused Russia of being behind the December 2017 attack on the government’s computer networks 
523,April 2018. The UK’s National Cyber Security Centre released an advisory note warning that Russian state actors were targeting UK critical infrastructure by infiltrating supply chains 
524,"April 2018. All government services of Sint. Maarten, a Caribbean island and constitute country of the Netherlands , were taken offline for a week after a cyber attack. According to local authorities, this is the third cyber attack the country has faced in just over a year. "
525,April 2018. The North Korean hacking group responsible for the SWIFT attacks was found to have targeted a Central American online casino in an attempt to siphon funds 
526,"March 2018. Online services for the city of Atlanta were disrupted after a ransomware attack struck the city’s networks, demanding $55,000 worth of bitcoin in payment. The city w ould eventually spend approximately $2.6 million recovering from the attack. "
527,"March 2018. Baltimore’s 911 dispatch system was taken down for 17 hours after a ransomware attack, forcing the city to revert to manual dispatching of emergency services Marc h 2018. The US Departments of Justice and Treasury accused Iran in an indictment of stealing intellectual property from more than 300 universities, as well as government agencies and financial services companies. "
528,"March 2018. The FBI and Department of H omeland Security issued a joint technical alert to warn of Russian cyber attacks against US critical infrastructure. Targets included energy, nuclear, water, aviation, and manufacturing facilities. "
529,"March 2018 . Columbian authorities reported more than 50, 000 attacks on the web platform of Columbia’s national voter registry during the run -up to national elections. "
530,March 2018. A data breach of the company Under Armor compromised the information of 150 million users of its fitness and nutrition tracking a pp MyFitnessPal   March 2018. Cybersecurity researchers reveal that a Chinese hacking group used malware to attack the service provider for the UK government in an attempt to gain access to contractors at various UK government departments and military org anizations 
531,March 2018. Cybersecurity researchers announce evidence that the same North Korean hacking group linked to the SWIFT financial network attacks has been targeting several major Turkish banks and government finance agencies. 
532,March 2018. A UN report details attempts by North Korean hackers to compromise email accounts of the members of a UN panel enforcing trade sanctions against North Korea. 
533,"February 2018. German news reported that a Russian hacking group had breached the online networks of Germany’s foreign and interior ministries, exfiltrating at least 17 gigabytes of data in an intrusion that went undetected for a year. "
534,February 2018. The Justice Department indicted 13 Russians and three companies for the ir online efforts to interfere in the 2016 US presidential elections. 
535,February 2018. The US and UK formally blame Russia for the June 2017 NotPetya ransomware attack that caused billions of dollars in damages across the world. 
536,February 2018. A cybe rattack on the Pyeongchang Olympic Games attributed to Russia took the official Olympic website offline for 12 hours and disrupted wifi and televisions at the Pyeongchang Olympic stadium. 
537,February 2018. Officials at the Department of Homeland Security confirmed that Russian hackers successfully penetrated the voter registration rolls of several US states prior to the 2016 election. 
538,"January 2018. Chinese hackers infiltrated a U.S. Navy contractor working for the Naval Undersea Warfare Center. 614 gigab ytes of material related to a supersonic anti -ship missile for use on U.S. submarines were taken, along with submarine radio room information related to cryptographic systems and the Navy submarine development unit’s electronic warfare library January 20 18. China denied that the computer network it supplied to the African Union allowed it access the AU’s confidential information and transfer it to China, or that it had bugged offices in the AU headquarters that it had built. "
539,"January 2018 . A Japan -based cryptocurrency exchange reveals that it lost $530 million worth of the cryptocurrency NEM in a hack, in what amounts to possibly the largest cryptocurrency heist of all time. "
540,"January 2018 . Norwegian officials discover a “very professional” attempt to steal patient data from a Norwegian hospital system, in an attack they speculate was connected to the upcoming NATO Trident Juncture 18 military exercise. "
541,"January 2018. A hacking group with ties to the Lebanese General Directorate of General   Security was revealed to have been involved in a six -year campaign to steal text messages, call logs, and files from journalists, military officers, corporations, and other targets in 21 countries worldwide. "
542,"January 2018 . The Unique Identification Authority of I ndia and its Aadhaar system are hacked by unknown actors, resulting in the personal data of more than 1 billion people being available for purchase. "
543,December 2017. French company Schneider Electric was forced to shut down operations of a power plant in the Middle East after malware compromised its industrial control systems. Analysis by security researchers indicated that the attack was sponsored by a nation -state. 
544,December 2017. The state -owned China Aerospace Science and Industry Corporation (CASI C) is alleged to have pre -installed backdoors in biometric equipment sold to Taiwan for its e -Gate border control system. The backdoors would have allowed CASIC to gather private data on both Taiwanese and foreign citizens traveling in and out of the count ry since the system’s installation in 2012. 
545,"December 2017. Iranian hackers used fake social network profiles and a fake news site to target academic researchers, human rights activists, media outlets, and political advisors "
546,"November 2017. Three Chinese nationals employed at a China -based Internet security firm are indicted by a US grand jury for computer hacking, theft of trade secrets, conspiracy, and identity theft against employees of Siemens, Moody’s Analytics, and Trimb le. "
547,"November 2017. Uber discloses that it paid hackers $100,000 to delete the stolen data of 57 million of its customers and drivers, including names, phone numbers, email addresses, and license plate numbers. "
548,"November 2017. Cybersecurity researche rs report a cyberespionage campaign targeting government organizations in South America and Southeast Asia. The group, deemed to have nation -state capabilities, aimed to acquire foreign policy information from diplomatic and government entities. Novemb er 2017. Cybersecurity researchers report a sophisticated Vietnamese hacking group responsible for cyber espionage campaigns targeting the ASEAN organization, foreign corporations with an interest in Vietnamese industries, and media, human rights, and civ il society organizations. "
549,"October 2017. A major wave of ransomware infections hits media organizations, train stations, airports, and government agencies in Russia and Eastern Europe. Security researchers found strong evidence linking the attack to the creators of NotPetya, and noted that the ma lware used leaked NSA -linked exploits to move through networks. Ukrainian police later reported that the ransomware was a cover for a quiet phishing campaign undertaken by the same actor to gain remote access to financial and other confidential data. "
550,"October 2017 . Yahoo updates the previous projections of 1 billion account affected in its   massive 2013 breach, acknowledging that all 3 billion accounts were compromised. "
551,"October 2017. Russian hackers reported to be targeting potential attendees of CyCon, a cybersecurity conference organized by the US Army and the NATO CCD COE "
552,"October 2017 . DHS and FBI reports warn of Russia -linked hackers targeting industrial control systems at US energy companies and other critical infrastructure organizations October 2017. Poland’s Defense Minister reports that the country repelled a third Russian hacking attempt against companies in Poland, reportedly part of a larger campaign against Eastern European corporations. "
553,October 2017. North Korean hackers were found to have targeted US electric companies in a spear -phishing campaign meant to probe utilities’ defenses. 
554,"October 2017. North Korean hackers allegedly broke into South Korea’s defense data center in 2016 and stole a large trove of sensitive documents over t he course of a year, including joint U.S. -South Korean blueprints for war on the peninsula. "
555,"October 2017. China allegedly carried out a cyberattack against a U.S. think tank and law firm, both involved with fugitive Chinese tycoon Guo Wengui. "
556,"October 2017. The Australian Government revealed that hackers compromised an Australian national security contractor in 2016 and stole large amounts of data, including information related to the development of the F -35 Joint Strike Fighter. "
557,October 2017. Reports surface that Russian government -backed hackers stole NSA hacking secrets from a contractor in 2015 by exploiting the Kaspersky antivirus software on the contractor’s home computer 
558,"September 2017. An Iranian hacking group was respo nsible for an espionage campaign targeting the aerospace industry in the U.S. and Saudi Arabia, as well as petrochemical firms in South Korea and Saudi Arabia. "
559,September 2017. Russia compromised the personal smartphones of NATO soldiers deployed to Poland and the Baltic states. 
560,September 2017. Press reports say that the US Cyber Command targeted North Korea's the Reconnaissance General Bureau for denial -of-service attacks. 
561,September 2017. China allegedly inserted malware into widely used PC manage ment tool. The malware targeted at least 20 major international technology firms. 
562,September 2017. The SEC reported that cybercriminals accessed the agency’s files in 2016 and used the information gathered for illicit trading 
563,"September 2017. Credit monitoring firm Equifax disclosed a July data breach that revealed 143 million people’s full names, social security numbers, birth dates, home addresses and driver’s   license numbers, as well as 209,000 credit card numbers. Septem ber 2017. Researchers report malware infections in Cambodia designed to surveil dissidents and disrupt domestic political activity. "
564,"August 2017 . Researchers inform the Estonian Information System Authority of a vulnerability potentially affecting the us e of 750,000 Estonian e -ID cards. The government replaced the compromised cards in late 2017, but claims that no cards were ever hacked. "
565,August 2017. South Korea’s Cyber Warfare Research Center reports that North Korea has been targeting South Korean B itcoin exchanges. 
566,August 2017. A state -sponsored spyware campaign targeted Indian and Pakistani government security and military organizations. 
567,August 2017. The Scottish Parliament suffered from a brute force cyberattack similar to the one that com promised the British Parliament in June. 
568,"July 2017 . The Swedish Transport Agency’s outsourced data is hacked, potentially compromising confidential information and classified information on military plans. "
569,July 2017. Security researchers revealed d etails of a wide -ranging malware campaign linked to China which used over 600 strains of malware to conduct espionage operations on Southeast Asian military and government organizations 
570,July 2017. GCHQ issued a warning saying that state-sponsored hackers had likely broken into the Industrial Control Systems of UK energy companies 
571,"July 2017. Security researchers revealed an Iran -linked cyber espionage group active since 2013 that had used spear phishing and watering hole attacks t o target government institutions, defense companies, IT firms and more in Israel, Saudi Arabia, the US, Germany, Jordan, and Turkey. "
572,July 2017. The FBI and DHS announced that hackers had been targeting US energy facilities including the Wolf Creek Nucl ear Operating Corporation in a campaign bearing resemblance to the operations of a known Russian hacking group 
573,"July 2017. Cyber research firms reported a new malware campaign launched the day after North Korea’s July missile tests. The identified family of malware featured a command and control infrastructure with links to South Korea, and had previously been used in three other campaigns linked to North Korea. "
574,"July 2017. Hackers attacked a partner of UniCredit, Italy’s largest bank, gaining access t o loan and biographical data from 400,000 client accounts "
575,July 2017 . Russian hackers used leaked NSA tools to compromise Wi -Fi servers in European and Middle Eastern hotels in a campaign targeting top diplomats and industrial leaders. 
576,July 2017. The Q atari government accused hackers in the United Arab Emirates of posting fake   news and attacking Qatari state -run media websites in a campaign designed to widen a rift between Gulf states. 
577,"June 2017. The New York Times revealed that spyware sold to the Mexican government was being used to target human rights lawyers, journalists, and anti -corruption activists "
578,"June 2017. US-CERT identified the North Korean government as being behind a DDoS botnet infrastructure used to target media, financial, aerospac e, and critical infrastructure organizations worldwide "
579,June 2017. A Russia -linked hacking group was found to have launched a spear -phishing campaign against Montenegro after the country announced its decision to join NATO 
580,"June 2017. A NotPetya ransomware attack shut down the port terminals of Danish shipping giant Maersk for two days, causing an estimated $300 million in associated costs "
581,"June 2017. Russian hackers used an updated ransomware program to target Ukrainian infrastructure, including power companies, airports, and public transit. "
582,"June 2017. A brute -force attack alleged to have been carried out by Iranian state actors compromised nearly 90 British members of parliament, whose email accounts were hacked. "
583,"May 2017. Beginning in 2011, Hackers from the internet security firm Boyusec compromised the networks of three companies over a multi -year period and gained access to confidential documents and data, including sensitive internal communications, usernames and passwords, and business and commercial information "
584,"May 2017. A hacking campaign by an Iran -linked group targeted multiple Israeli IT vendors, financial institutions and the national post office "
585,May 2017. A ransomware campaign spread to 99 countries using a vulnerability revealed in the Shadow Brokers’ April 2017 dump of NSA tools. 
586,"May 2017. Lebanon accused Israel of hacking the Lebanese telecoms network and sending audio and WhatsApp messages to 10,000 people claiming that Hezbollah’s leader was behind the death of the group’s top commander. "
587,May 2017. An Irani an hacking group attempted to carry out an attack on a U.S. military contractor using Russian tools. 
588,"May 2017. Thousands of emails and other documents from the campaign of French president -elect Emmanuel Macron, totaling 9 gigabytes, were released short ly before the election, in an effort linked to Russia. "
589,"April 2017. The Israeli Cyber Defense Authority announced it had defended an Iranian cyberattack campaign against 120 targets in the government, high -tech, medical, and education sectors   April 20 17. Irish state -owned utility EirGrid suffered a security breach at the hands of state -sponsored hackers involving a virtual wiretap allowing access to the company’s unencrypted communications. "
590,"April 2017. The Lazarus Group, thought to be associated with North Korea, was found to be involved in a spear phishing campaign against US defense contractors "
591,"April 2017. Cybersecurity researchers revealed a growing cyber -espionage campaign originating in China and targeting construction, engineering, aerospa ce and telecom companies, as well as government agencies, in the U.S., Europe, and Japan. "
592,"April 2017. The Danish Defense Intelligence Service reported that a “foreign player,” alleged by the Danish press to be Russia espionage group, had accessed Defens e Ministry email accounts in 2015 and in 2016, but was unable to retrieve classified information. "
593,"April 2017. The Shadow Brokers, the group that claimed to have hacked the NSA in August 2016, released yet another trove of purported NSA hacking tools, in cluding one that suggests the NSA had gained access to SWIFT messages. "
594,"April 2017. Chinese attempts to penetrate South Korean military, government and defense industry networks continued at an increasing rate since a February announcement that the THAAD missile defense system would be deployed in South Korea. "
595,"March 2017. An intelligence report revealed a Russian operation to send malicious spear -phishing messages to more than 10,000 Twitter users in the Department of Defense. The malicious payloads delivered through these messages gave Russian hackers access to the victim’s device and Twitter account. "
596,"March 2017. The U.S. Department of Justice indicted two Russian intelligence agents and two criminal hackers over the September 2014 Yahoo h ack, which compromised 500 million user accounts. "
597,"March 2017. Chinese police arrested 96 suspects charged with hacking into the servers of social media, gaming and video streaming sites, stealing personal information, and posting the information for sale on online forums. "
598,"March 2017. Wikileaks released a trove of sophisticated CIA hacking tools dated from 2013 to 2016, claiming that the release reflected several hundred million lines of CIA -developed code. "
599,February 2017. An Irani an hacker group targeted actors associated with the U.S. defense industrial base as well as at least one human rights activist in a campaign to steal credentials and other data 
600,"February 2017 . An Iranian cyber espionage campaign targeted the energy, gove rnment, and technology sectors of Saudi Arabia "
601,"February 2017 . A suspected Russian hacker breaches at least 60 universities and US   government organizations using SQL injections, including HUD, NOAA, Cornell University, and NYU, among many others. This fol lows up a hack by the same actor against the U.S. Electoral Assistance Commission in December 2016. "
602,February 2017. Indian Central Bureau of Investigation and Army officers were targeted by a phishing campaign purportedly mounted by Pakistan. February 2017. Hackers compromised the Singaporean military’s web access system and stole the personal information of 850 people. The Ministry of Defense said it was likely the attack was state sponsored. 
603,"February 2017. A sophisticated malware operation extracte d over 600 gigabytes of data from 70 mostly Ukrainian targets in the fields of critical infrastructure, news media, and scientific research. "
604,"January 2017. A Swedish foreign policy institute accused Russia of conducting an information warfare campaign, u sing fake news, false documents, and disinformation intended to weaken public support for Swedish policies. "
605,"December 2016. Russian hackers targeted Ukraine’s national power company, Ukrenergo, and shut down power to northern Kiev for over an hour. "
606,"December 2016. The Society for Worldwide Interbank Financial Telecommunication (SWIFT) warned its customers that they remain vulnerable to attacks by “sophisticated” threat actors, having witnessed “a meaningful number” of attacks on its customers since the B angladesh heist in "
607,"February 2016, a fifth of which had resulted in stolen funds. "
608,"December 2016. Yahoo revealed that its systems had been intruded into in August 2013, and that the breach compromised one billion user accounts. Compromised data included us ernames, email addresses, phone numbers, dates of birth, passwords, and security questions and answers. The data was posted for sale for $200,000 or best offer on underground forums. "
609,"November 2016. An indiscriminate attack compromised systems at the San Francisco Municipal Transportation Agency (the Muni), locking operators out of computers and customers out of kiosks. As a result, the Muni offered customers free rides for two days, until administrators restored its systems without paying the demanded $73 ,000 ransom. "
610,"November 2016. Hackers targeted AdultFriendFinder, a dating website, compromising 412 million users and publishing their emails, passwords, member status and purchases on online criminal marketplaces. "
611,"November 2016. The hard-drive -wiping “Shamoon” virus used against Saudi Aramco in 2012 was deployed against four Saudi Arabian government agencies. The attack wiped data on thousands of computers at Saudi’s General Authority of Civil Aviation and other agencies. October 201 6. A cyber mercenary contracted by a rival firm used a botnet to disable a Liberian telecom company, rendering half the country unable to access the internet.   October 2016. Hackers grained control of a major Brazilian bank’s Domain Name System addresses and seized the bank’s entire online footprint for several hours. "
612,October 2016. The U.S. Director of National Intelligence and Department of Homeland Security jointly identified Russia as responsible for hacking the Democratic National Committee and usin g WikiLeaks to dump emails obtained in the hack. 
613,September 2016. Japanese Defense Ministry and Self -Defense Forces (SDF) communications networks linking SDF bases and camps were compromised. 
614,"September 2016. Yahoo revealed that it an intrusion into its network in late 2014 had given hackers access to 500 million users’ usernames, email addresses, phone numbers, dates of birth, passwords, and a mix of encrypted and plaintext security questions and answers. The company’s CIO claimed the attack was perpetra ted by a state -sponsored actor. "
615,August 2016. A group calling itself “Shadow Brokers” claimed to have penetrated NSA and published a collection of NSA tools on Pastebin. 
